id,name,body,background,category,category2,type,thc
195,Moon Walker Kush,Grey,Black,Kush,Space,Mostly Indica,22
196,Rainbow Wreck,Multi-Color,Black,-,Trippy / Rainbows, ,29
198,Gorilla Nut,Brown,Green,-,Food / Fruits / Animals,Mostly Indica,26
200,Radioactive Kush,Green,Black,Kush,Neon,Mostly Indica,20
201,Illusion OG,Green,Purple,OG,Fantasy,Mostly Indica,20
202,Candy Chrome,Silver,Silver,-,Food / Fruits / Sweets,Mostly Sativa,21
204,Haley’s Comet,Green,Black,-,Space / Neon,Mostly Sativa,10
205,Alien Tits,Pink,Black,-,Aliens / Space,Mostly Sativa,21
206,Vanilla Sky,Yellow,Yellow,-,Food / Sweets / Plants,Mostly Sativa,24
207,Alien Abduction,Purple,Black,-,Aliens / Space,Mostly Indica,21
208,Trippy Gorilla,Multi-Color,Purple / Pink,-,Trippy / Animals,Hybrid,27
209,Cosmic Glue,Green,Black,Glue,Space / Neon,Mostly Indica,26
210,Cosmic Collision,Green,Black,-,Space / Neon,Mostly Sativa,26
211,Lemon Trip,Multi-Color,Black,-,Food / Fruits / Trippy,Mostly Sativa,26
212,Lochness,Green,Blue / Green,-,Fantasy / Spooky,Mostly Indica,22
216,Time Traveller,Green,Yellow,-,OTHER,Hybrid,23
217,Alien Cookies,Brown,Black,Cookies,Food / Sweets / Aliens / Space,Hybrid,22
219,Banana Peel,Yellow,Purple,-,Food / Fruits,Hybrid,19
220,Viking Kush,Green,Green,Kush,OTHER,Mostly Indica,25
223,Lava Kush,Green,Black,Kush,Neon,Hybrid,17
224,Poison Toad,Green,Green,-,Animals / Spooky,Mostly Sativa,26
226,Alien Glue,Green,Black,Glue,Aliens / Space / Neon,Mostly Indica,21
227,Alien Banner OG,Green,Black,OG,Aliens / Space / Spooky,Hybrid,21
228,Alien Ice Cream,Brown,Black,-,Aliens / Space / Food / Sweets / Ice Cream,Mostly Indica,25
229,Alien Gorilla,Yellow,Black,-,Aliens / Space / Animals,Hybrid,21
230,Flamin’ Alien,Green,Black,-,Aliens / Space,Hybrid,26
232,Alien Blackout,Green,Black,-,Aliens / Space,Mostly Indica,21
233,Weasel Diesel Alien,Brown,Black,Diesel,Aliens / Space / Animals,Mostly Indica,25
235,Love Triangle,Green,Pink,-,OTHER,Mostly Indica,22
236,Pineapple Skunk,Brown,Green,Skunk,Food / Fruits / Animals,Mostly Indica,18
237,Hellhound,Orange,Black,-,Fantasy / Spooky,Mostly Indica,23
238,Hammer Shark,Green,Blue / Green,-,Animals,Mostly Indica,19
239,Evil Banana,Yellow,Purple / Pink,-,Food / Fruits / Spooky,Mostly Sativa,21
240,Acid Orange, Multi-Color,Black,-,Food / Fruits / Trippy,Hybrid,20
241,Roswell’s Lemonade,Yellow,Yellow / Green,-,Food / Fruits / Aliens / Space,Hybrid,22
243,Rainbow Glue, Multi-Color,Black,Glue,Rainbows,Mostly Indica,22
244,Sweet Pink Banana,Pink,Purple,-,Food / Fruits,Hybrid,23
245,Turtle Island,Green,Blue / Green,-,Animals,Hybrid,22
247,Mozzarella,White,Green,-,Food,Mostly Indica,20
248,Brain Gum,Green,Black,-,Food / Sweets / Neon,Mostly Indica,21
250,Magic Eraser,Green,Blue / Green,-,Fantasy,Mostly Indica,27
254,Nano Banano,Yellow,Multi-Color,-,Food / Fruits,Hybrid,19
257,Kaleidos Dope,Green,Multi-Color,-,Trippy,Mostly Indica,22
258,Crystal Skull,Blue,Blue,-,Gemstones / Fantasy / Spooky,Mostly Sativa,23
260,Brains Escape,Green,Green,-,OTHER,Mostly Indica,12
261,Peanutbutter Gelato,Brown,Yellow,Gelato,Food / Sweets / Ice Cream,Mostly Indica,22
262,Alieno Formaggio,Yellow,Black,Cheese,Food / Aliens / Space / Cheese,Mostly Indica,21
263,Acid III, Multi-Color,Black,-,Trippy,Hybrid,22
267,Banana Joint,Grey,Blue / Green,-,Food / Fruits,Mostly Indica,21
